City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
59,Tomatlan,19.9333,-105.25,73.96,95,100,2.66,MX,2022-10-04 00:55:20,overcast clouds
60,Bethel,41.3712,-73.414,49.17,88,100,1.01,US,2022-10-04 00:55:20,overcast clouds
61,Touros,-5.1989,-35.4608,76.91,76,25,14.25,BR,2022-10-04 00:52:08,scattered clouds
62,Saskylakh,71.9167,114.0833,13.8,96,93,6.04,RU,2022-10-04 00:55:21,overcast clouds
63,Altamont,42.2068,-121.7372,76.39,26,11,3.15,US,2022-10-04 00:55:21,few clouds
64,Bluff,-46.6,168.3333,45.32,89,100,20.47,NZ,2022-10-04 00:55:22,light rain
65,Hobyo,5.3505,48.5268,76.1,88,73,19.69,SO,2022-10-04 00:55:22,broken clouds
66,Tera,14.0078,0.7531,86.74,53,2,16.42,NE,2022-10-04 00:55:23,clear sky
67,Magrath,49.4167,-112.8686,75.34,37,6,4.61,CA,2022-10-04 00:55:23,clear sky
68,Salalah,17.0151,54.0924,76.01,83,81,3.56,OM,2022-10-04 00:55:23,broken clouds
69,Virginia Beach,36.8529,-75.978,54.03,94,100,25.32,US,2022-10-04 00:53:43,mist
70,Hermanus,-34.4187,19.2345,53.8,75,36,8.21,ZA,2022-10-04 00:54:13,scattered clouds
71,Tuktoyaktuk,69.4541,-133.0374,24.8,86,100,16.11,CA,2022-10-04 00:55:24,overcast clouds
72,Nome,64.5011,-165.4064,44.67,81,100,13.8,US,2022-10-04 00:51:03,light rain
73,Avera,33.194,-82.5271,62.65,71,11,6.06,US,2022-10-04 00:55:08,few clouds
74,Nagato,34.3833,131.2,78.78,72,20,15.03,JP,2022-10-04 00:55:25,few clouds
75,Kahului,20.8947,-156.47,80.96,91,42,8.01,US,2022-10-04 00:55:25,light rain
76,Hofn,64.2539,-15.2082,47.16,90,100,23.13,IS,2022-10-04 00:55:26,overcast clouds
77,Georgetown,5.4112,100.3354,82.33,90,20,3.44,MY,2022-10-04 00:55:26,few clouds
78,Oruro,-17.9833,-67.15,49.8,19,86,5.64,BO,2022-10-04 00:55:26,overcast clouds
79,Saldanha,-33.0117,17.9442,48.25,80,0,7.18,ZA,2022-10-04 00:55:27,clear sky
80,Saint-Philippe,-21.3585,55.7679,67.59,83,44,13.33,RE,2022-10-04 00:55:27,scattered clouds
81,Chapais,49.7834,-74.8492,44.38,72,78,7.31,CA,2022-10-04 00:55:27,broken clouds
